username,user id,access hash,name,group,group id
,7493176698,471612954268852471,Bugheadlo_ver R.SH,AK47 AI | Tax 4-7 | Renounce,1801174251
,5434266369,1317239954061691051,Safeguard,AK47 AI | Tax 4-7 | Renounce,1801174251
Elchadoeth,5703474361,5149643307731059680,EL CHADO,AK47 AI | Tax 4-7 | Renounce,1801174251
,5805291127,-7255592140336194309,Sahil Boss,AK47 AI | Tax 4-7 | Renounce,1801174251
Abbddelll,5990034265,4814426279563614341,Abdel,AK47 AI | Tax 4-7 | Renounce,1801174251
,6178583049,743275273388528033,‎شـاپـࢪڪ 🍄,AK47 AI | Tax 4-7 | Renounce,1801174251
,5336320447,-2591466168970862507,buytech,AK47 AI | Tax 4-7 | Renounce,1801174251
amateraa,5448896605,-6592611758662359094,Whew Lencan,AK47 AI | Tax 4-7 | Renounce,1801174251
CryptoTechR,1160899999,3729695883126439638,CryptoTech,AK47 AI | Tax 4-7 | Renounce,1801174251
,2033561964,-6664374176831133937,BobbyBuyBot,AK47 AI | Tax 4-7 | Renounce,1801174251
Poocoin_Pricebot,1867070841,-5424270465480041876,PooCoin Price Bot,AK47 AI | Tax 4-7 | Renounce,1801174251
,5667567609,4431863653597818669,,AK47 AI | Tax 4-7 | Renounce,1801174251
Lawalkalakala,5922093171,-6049121527396378154,Lawal Adamu,AK47 AI | Tax 4-7 | Renounce,1801174251
SarahGrey,1106608851,5562831345551800843,🐸 Toad,AK47 AI | Tax 4-7 | Renounce,1801174251
berkanmarketing4,5435043345,909084837444507783,Berkan | Influencer Marketing Manager,AK47 AI | Tax 4-7 | Renounce,1801174251
savnathz,281493520,9215518707924862499,Sav Nathz 🐾,AK47 AI | Tax 4-7 | Renounce,1801174251
KimNarniaaa,5802824561,-7941717488767985530,Kim Narnia,AK47 AI | Tax 4-7 | Renounce,1801174251
Raja_12567,5204328137,-5571695820186794668,Raja,AK47 AI | Tax 4-7 | Renounce,1801174251
Alan_118,5778977625,6099226668086884104,Alan - Never Dm you for funds,AK47 AI | Tax 4-7 | Renounce,1801174251
Jsb1678,1712225081,-8218301678252073620,J💲B,AK47 AI | Tax 4-7 | Renounce,1801174251
Heykoo,5886121815,-5489272243686022935,Hehhe,AK47 AI | Tax 4-7 | Renounce,1801174251
,5189480567,-1415263797117154038,,AK47 AI | Tax 4-7 | Renounce,1801174251
BOB_BSC,5170762549,250721029734663133,BOB,AK47 AI | Tax 4-7 | Renounce,1801174251
brandalgila,5168065864,6141264925010323807,Helsinki || @Call_BWG || @DuckraceCalls,AK47 AI | Tax 4-7 | Renounce,1801174251
yuanshequ,5117110074,-5411051060091436008,Yuan Sheque,AK47 AI | Tax 4-7 | Renounce,1801174251
Satasfia0x,5912726955,7765647121735743690,Satasfia,AK47 AI | Tax 4-7 | Renounce,1801174251
kanariwiny,5518689886,4814550559255821844,Doge Style,AK47 AI | Tax 4-7 | Renounce,1801174251
Zhao_yunJr,5490220175,-2370572161615157173,Jati Date,AK47 AI | Tax 4-7 | Renounce,1801174251
odincallz,5102693365,2398168222764804369,Odin,AK47 AI | Tax 4-7 | Renounce,1801174251
,5474065123,-2511260964712965370,Gamble Player,AK47 AI | Tax 4-7 | Renounce,1801174251
emilyojeda,5399470957,3840704236500647932,Em Mily,AK47 AI | Tax 4-7 | Renounce,1801174251
Biharibabua9,623969127,4187371501520214996,Bihari Babua,AK47 AI | Tax 4-7 | Renounce,1801174251
RizkiCrypt,1308160080,-4460902154795614380,Chester Ben,AK47 AI | Tax 4-7 | Renounce,1801174251
Richardeliah,5114020943,-3131127992606412228,Richard Eliah,AK47 AI | Tax 4-7 | Renounce,1801174251
Hapusakunin,5242866088,-4065625480953162889,Hapus akun ini,AK47 AI | Tax 4-7 | Renounce,1801174251
TG_GiveBot,5350280156,-1475209671565843424,GiveBot,AK47 AI | Tax 4-7 | Renounce,1801174251
SaMi_M880,5447892434,6859479715171433533,Sami || Never DM U First,AK47 AI | Tax 4-7 | Renounce,1801174251
Gulfare,6044082082,-621475543751790650,Gomez GOLLUM GEMS,AK47 AI | Tax 4-7 | Renounce,1801174251
RichardSimon216,2006793268,-4838607865008582932,Rich Simon(brothers number),AK47 AI | Tax 4-7 | Renounce,1801174251
Dybala_Op,1561166394,-8335421167528630629,Dybala ⁪⁬⁮⁮⁮⁮ ‌‌‌‌,AK47 AI | Tax 4-7 | Renounce,1801174251
BossYodooo,1437906035,2044925965739750139,BOSS Yodo,AK47 AI | Tax 4-7 | Renounce,1801174251
Cosabynightt,1676806478,5968079031979705200,Cosa By Night,AK47 AI | Tax 4-7 | Renounce,1801174251
ARyInu51,1419061600,-8695127197909102625,Agustin | CubixCasino | COO,AK47 AI | Tax 4-7 | Renounce,1801174251
ddrydr,6137685551,-8779139525225305688,Максим Михайлов,AK47 AI | Tax 4-7 | Renounce,1801174251
Gate_Selim,5678298430,-6964863434005837848,Selim @Gate,AK47 AI | Tax 4-7 | Renounce,1801174251
Johnlolol,1987358937,-6153759462665194237,Deͥgeͣnͫ 🇧🇻,AK47 AI | Tax 4-7 | Renounce,1801174251
BBYDAGI,697351494,1083936168460529307,Komasun,AK47 AI | Tax 4-7 | Renounce,1801174251
supergosc05,2044211113,6107566215058513855,HappyM,AK47 AI | Tax 4-7 | Renounce,1801174251
Crypto_Gang01,5450270532,3429451213177329128,₪ Crypto | GanG ₪,AK47 AI | Tax 4-7 | Renounce,1801174251
ttvisas,5960551233,5128256080047672144,Alex,AK47 AI | Tax 4-7 | Renounce,1801174251
richmonscallowner,5003227629,-8307670896925124381,@richmonscall,AK47 AI | Tax 4-7 | Renounce,1801174251
dusanbodlak,617356632,-1129585912848685675,Nasal Tabak,AK47 AI | Tax 4-7 | Renounce,1801174251
Volt0l13,5349065338,-3904384432951681247,Volt0,AK47 AI | Tax 4-7 | Renounce,1801174251
,5144629625,-1465100518816427041,Rick Enrique,AK47 AI | Tax 4-7 | Renounce,1801174251
,5188823620,-3792186620878817433,Amir Hossain,AK47 AI | Tax 4-7 | Renounce,1801174251
CryptoQueenzy,1967662338,-8221439889989623280,Crypto Queen,AK47 AI | Tax 4-7 | Renounce,1801174251
Andre_AndromedasCalls,1936712414,-7510261278533769707,🪐Andre🪐 (@AndromedasCalls),AK47 AI | Tax 4-7 | Renounce,1801174251
,5025174576,8088073886848223338,Mira Mesa,AK47 AI | Tax 4-7 | Renounce,1801174251
GoCrypti,5097185083,2801555888237481746,G-Crypt📉📈,AK47 AI | Tax 4-7 | Renounce,1801174251
sarahlizwayne,6140110219,-6200014002024461,Sarah Liz,AK47 AI | Tax 4-7 | Renounce,1801174251
MadScientist107,1843293471,-9156412352246444297,MadScientistBTC ( NEVER DM FOR FUNDS ),AK47 AI | Tax 4-7 | Renounce,1801174251
Oxdaytona,5823479037,-944244294883679417,Juken,AK47 AI | Tax 4-7 | Renounce,1801174251
hard_to_killl,5702137716,-5240876872110889426,All memecoins are goin to the sole,AK47 AI | Tax 4-7 | Renounce,1801174251
munpppiii,1820736828,5713426143761764452,Pci,AK47 AI | Tax 4-7 | Renounce,1801174251
lewis_815,5702969249,-511354408010262465,Justin Garry,AK47 AI | Tax 4-7 | Renounce,1801174251
Dwightv,5948178099,5993499897405593984,Dwight,AK47 AI | Tax 4-7 | Renounce,1801174251
blilalcrypt,1764185133,3397612741428593876,Bilal,AK47 AI | Tax 4-7 | Renounce,1801174251
Gigachad9999,5024420057,-343208471261931694,Chadson,AK47 AI | Tax 4-7 | Renounce,1801174251
james628,5099035277,245639123428373763,MICHAL JAMES,AK47 AI | Tax 4-7 | Renounce,1801174251
Shamsuser,1388903707,4033806692468437162,Shamsu Nasir🐾,AK47 AI | Tax 4-7 | Renounce,1801174251
abu_2K22,2048974070,1180382635753667976,N,AK47 AI | Tax 4-7 | Renounce,1801174251
psychodegenn,1266309146,799561053244909707,Psycho ☠️,AK47 AI | Tax 4-7 | Renounce,1801174251
,5348519661,345128919930157665,Pepesafu,AK47 AI | Tax 4-7 | Renounce,1801174251
Cliosd,5005029350,2799170865675708071,Clif Ford,AK47 AI | Tax 4-7 | Renounce,1801174251
Ad4200,1867879223,214467425055980102,Adam,AK47 AI | Tax 4-7 | Renounce,1801174251
demounit,1540458038,-6324204798136872558,demo,AK47 AI | Tax 4-7 | Renounce,1801174251
,5922441623,-3919633011174146790,,AK47 AI | Tax 4-7 | Renounce,1801174251
,5103192104,-1105053976959372684,,AK47 AI | Tax 4-7 | Renounce,1801174251
Hooinu,5049568671,-8526209009540731050,Juki Inu,AK47 AI | Tax 4-7 | Renounce,1801174251
Donalds_man,5444229498,4576072674301161577,𝕏 dONALd_Ê✞H $DJI,AK47 AI | Tax 4-7 | Renounce,1801174251
verticalquadrant,1783708688,-1917446265076771692,clinophile🚿,AK47 AI | Tax 4-7 | Renounce,1801174251
uNoCcUpIeD11,5673628864,-8178863101567761722,uNoCcUpIeD,AK47 AI | Tax 4-7 | Renounce,1801174251
Shreeerr,5678284470,-274206239492383885,Share,AK47 AI | Tax 4-7 | Renounce,1801174251
kryptodynamite,2111453377,8321198800490909830,A-13mac 鬼 @lowtaxbsc @lowtaxbsc🔥,AK47 AI | Tax 4-7 | Renounce,1801174251
Theeyungboss,5350746997,-1353725987833787093,Yung Boss,AK47 AI | Tax 4-7 | Renounce,1801174251
websitedeployer,5559132303,-8335212038729374520,Aaron,AK47 AI | Tax 4-7 | Renounce,1801174251
Rokinjo2022,1428358369,6231644847237946068,Roky,AK47 AI | Tax 4-7 | Renounce,1801174251
